#Station Long Name,Turner at Barry Drive
#Station Number,570813
#Station Location Latitude,-35.26752778
#Station Location Longitude,149.12294444
#Parameter Type Name,Rainfall
#Timeseries Name,PR00QaQc.Merged.AsStored.1
#Unit Name,millimeter
#DATA_OWNER_NAME,"ACT - Environment, Planning and Sustainable Development Directorate"
#Rows,17696
#Timestamp,Value,Quality Code,Interpolation Type
2020-11-26T07:56:08.000+10:00,0.0,10,201
2020-11-26T08:00:00.000+10:00,0.0,140,201
2020-11-26T08:56:08.000+10:00,0.0,10,201
2020-11-26T09:00:00.000+10:00,0.0,140,201
2020-11-26T09:56:09.000+10:00,0.0,10,201
2020-11-26T10:00:00.000+10:00,0.0,140,201
2020-11-26T10:56:09.000+10:00,0.0,10,201
2020-11-26T11:00:00.000+10:00,0.0,140,201
2020-11-26T11:56:09.000+10:00,0.0,10,201
2020-11-26T12:00:00.000+10:00,0.0,140,201
2020-11-26T12:56:09.000+10:00,0.0,10,201
2020-11-26T13:00:00.000+10:00,0.0,140,201
2020-11-26T13:56:09.000+10:00,0.0,10,201
2020-11-26T14:00:00.000+10:00,0.0,140,201
2020-11-26T14:56:09.000+10:00,0.0,10,201
2020-11-26T15:00:00.000+10:00,0.0,140,201
2020-11-26T15:56:09.000+10:00,0.0,10,201
2020-11-26T16:00:00.000+10:00,0.0,140,201
2020-11-26T16:56:09.000+10:00,0.0,10,201
2020-11-26T17:00:00.000+10:00,0.0,140,201
2020-11-26T17:56:10.000+10:00,0.0,10,201
2020-11-26T18:00:00.000+10:00,0.0,140,201
2020-11-26T18:56:10.000+10:00,0.0,10,201
2020-11-26T19:00:00.000+10:00,0.0,140,201
2020-11-26T19:56:10.000+10:00,0.0,10,201
2020-11-26T20:00:00.000+10:00,0.0,140,201
2020-11-26T20:56:10.000+10:00,0.0,10,201
2020-11-26T21:00:00.000+10:00,0.0,140,201
2020-11-26T21:56:10.000+10:00,0.0,10,201
2020-11-26T22:00:00.000+10:00,0.0,140,201
2020-11-26T22:56:10.000+10:00,0.0,10,201
2020-11-26T23:00:00.000+10:00,0.0,140,201
2020-11-26T23:56:10.000+10:00,0.0,10,201
2020-11-27T00:00:00.000+10:00,0.0,140,201
2020-11-27T00:56:10.000+10:00,0.0,10,201
2020-11-27T01:00:00.000+10:00,0.0,140,201
2020-11-27T01:56:11.000+10:00,0.0,10,201
2020-11-27T02:00:00.000+10:00,0.0,140,201
2020-11-27T02:56:11.000+10:00,0.0,10,201
2020-11-27T03:00:00.000+10:00,0.0,140,201
2020-11-27T03:56:11.000+10:00,0.0,10,201
2020-11-27T04:00:00.000+10:00,0.0,140,201
2020-11-27T04:56:11.000+10:00,0.0,10,201
2020-11-27T05:00:00.000+10:00,0.0,140,201
2020-11-27T05:56:11.000+10:00,0.0,10,201
2020-11-27T06:00:00.000+10:00,0.0,140,201
2020-11-27T06:56:11.000+10:00,0.0,10,201
2020-11-27T07:00:00.000+10:00,0.0,140,201
2020-11-27T07:56:11.000+10:00,0.0,10,201
2020-11-27T08:00:00.000+10:00,0.0,140,201
2020-11-27T08:56:11.000+10:00,0.0,10,201
2020-11-27T09:00:00.000+10:00,0.0,140,201
2020-11-27T09:56:12.000+10:00,0.0,10,201
2020-11-27T10:00:00.000+10:00,0.0,140,201
2020-11-27T10:56:12.000+10:00,0.0,10,201
2020-11-27T11:00:00.000+10:00,0.0,140,201
2020-11-27T11:56:12.000+10:00,0.0,10,201
2020-11-27T12:00:00.000+10:00,0.0,140,201
2020-11-27T12:56:12.000+10:00,0.0,10,201
2020-11-27T13:00:00.000+10:00,0.0,140,201
2020-11-27T13:56:12.000+10:00,0.0,10,201
2020-11-27T14:00:00.000+10:00,0.0,140,201
2020-11-27T14:56:12.000+10:00,0.0,10,201
2020-11-27T15:00:00.000+10:00,0.0,140,201
2020-11-27T15:56:12.000+10:00,0.0,10,201
2020-11-27T16:00:00.000+10:00,0.0,140,201
2020-11-27T16:56:12.000+10:00,0.0,10,201
2020-11-27T17:00:00.000+10:00,0.0,140,201
2020-11-27T17:56:12.000+10:00,0.0,10,201
2020-11-27T18:00:00.000+10:00,0.0,140,201
2020-11-27T18:56:13.000+10:00,0.0,10,201
2020-11-27T19:00:00.000+10:00,0.0,140,201
2020-11-27T19:56:13.000+10:00,0.0,10,201
2020-11-27T20:00:00.000+10:00,0.0,140,201
2020-11-27T20:56:13.000+10:00,0.0,10,201
2020-11-27T21:00:00.000+10:00,0.0,140,201
2020-11-27T21:56:13.000+10:00,0.0,10,201
2020-11-27T22:00:00.000+10:00,0.0,140,201
2020-11-27T22:56:13.000+10:00,0.0,10,201
2020-11-27T23:00:00.000+10:00,0.0,140,201
2020-11-27T23:56:13.000+10:00,0.0,10,201
2020-11-28T00:00:00.000+10:00,0.0,140,201
2020-11-28T00:56:13.000+10:00,0.0,10,201
2020-11-28T01:00:00.000+10:00,0.0,140,201
2020-11-28T01:56:13.000+10:00,0.0,10,201
2020-11-28T02:00:00.000+10:00,0.0,140,201
2020-11-28T02:56:14.000+10:00,0.0,10,201
2020-11-28T03:00:00.000+10:00,0.0,140,201
2020-11-28T03:56:14.000+10:00,0.0,10,201
2020-11-28T04:00:00.000+10:00,0.0,140,201
2020-11-28T04:56:14.000+10:00,0.0,10,201
2020-11-28T05:00:00.000+10:00,0.0,140,201
2020-11-28T05:56:14.000+10:00,0.0,10,201
2020-11-28T06:00:00.000+10:00,0.0,140,201
2020-11-28T06:56:14.000+10:00,0.0,10,201
2020-11-28T07:00:00.000+10:00,0.0,140,201
2020-11-28T07:56:14.000+10:00,0.0,10,201
2020-11-28T08:00:00.000+10:00,0.0,140,201
2020-11-28T08:56:14.000+10:00,0.0,10,201
2020-11-28T09:00:00.000+10:00,0.0,140,201
2020-11-28T09:56:14.000+10:00,0.0,10,201
2020-11-28T10:00:00.000+10:00,0.0,140,201
2020-11-28T10:56:15.000+10:00,0.0,10,201
2020-11-28T11:00:00.000+10:00,0.0,140,201
2020-11-28T11:56:15.000+10:00,0.0,10,201
2020-11-28T12:00:00.000+10:00,0.0,140,201
2020-11-28T12:56:15.000+10:00,0.0,10,201
2020-11-28T13:00:00.000+10:00,0.0,140,201
2020-11-28T13:56:15.000+10:00,0.0,10,201
2020-11-28T14:00:00.000+10:00,0.0,140,201
2020-11-28T14:34:45.000+10:00,0.4,10,201
